#  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
-41.2026  55.6488  252.292  223  5.1662E+00  1.1431E+01
-41.2696  55.8355  252.176  224  5.1786E+00  1.1517E+01
-41.3363  56.0226  252.059  225  5.1910E+00  1.1604E+01
-41.4027  56.2100  251.942  226  5.2033E+00  1.1691E+01
-41.4687  56.3979  251.825  227  5.2155E+00  1.1777E+01
-41.5345  56.5861  251.708  228  5.2277E+00  1.1865E+01
-41.6000  56.7747  251.591  229  5.2399E+00  1.1952E+01
-41.6651  56.9637  251.474  230  5.2522E+00  1.2039E+01
-41.7299  57.1530  251.358  231  5.2644E+00  1.2127E+01
-41.7945  57.3428  251.241  232  5.2767E+00  1.2215E+01
-41.8587  57.5329  251.125  233  5.2889E+00  1.2303E+01
-41.9226  57.7234  251.009  234  5.3011E+00  1.2392E+01
-41.9861  57.9143  250.893  235  5.3132E+00  1.2480E+01
-42.0494  58.1055  250.777  236  5.3254E+00  1.2569E+01
-42.1123  58.2972  250.662  237  5.3377E+00  1.2658E+01
-42.1750  58.4892  250.546  238  5.3501E+00  1.2747E+01
-42.2372  58.6816  250.430  239  5.3626E+00  1.2836E+01
-42.2992  58.8744  250.315  240  5.3751E+00  1.2926E+01
-42.3609  59.0675  250.199  241  5.3879E+00  1.3016E+01
-42.4222  59.2611  250.083  242  5.4011E+00  1.3106E+01
-42.4832  59.4550  249.968  243  5.4142E+00  1.3196E+01
-42.5438  59.6492  249.852  244  5.4274E+00  1.3287E+01
-42.6042  59.8439  249.736  245  5.4406E+00  1.3377E+01
-42.6641  60.0389  249.620  246  5.4536E+00  1.3468E+01
-42.7238  60.2343  249.505  247  5.4665E+00  1.3559E+01
-42.7831  60.4301  249.389  248  5.4794E+00  1.3651E+01
-42.8421  60.6263  249.273  249  5.4925E+00  1.3742E+01
-42.9008  60.8228  249.157  250  5.5057E+00  1.3834E+01
-42.9591  61.0197  249.041  251  5.5188E+00  1.3926E+01
